Variable	PEN	PEN_TMD	TMD_MAC_PEN	TMD_PEN	TMD_PEN_MAC
fig.623.1103.peg.81	0	0	0	1.0121152109807622e-4	0
fig.623.1103.peg.82	0	0	0	9.22416101040746e-5	0
fig.623.1103.peg.83	0	0	0	7.589457187610283e-5	0
fig.623.1103.peg.86	0	0	0	6.139450803781123e-5	0
fig.623.1103.peg.87	0	0	0	4.959801388109127e-5	0
fig.623.1277.peg.1426	0	-0.016257323483928283	0	0	0
fig.623.1277.peg.1438	0	0	0	-0.12034424984773634	0
fig.623.1277.peg.1482	0	0	0	0	0.16963260434728886
fig.623.1277.peg.1545	0	0	0	-0.003360902968145381	0.09417341366434336
fig.623.1277.peg.243	0	0	0	-0.00857888250249219	0
fig.623.1277.peg.2768	0	0	0	0	0.012374960494168873
fig.623.1277.peg.3309	0.0012108256008837286	0	0	0	0
fig.623.1277.peg.3310	0.0014140048000780931	0	0	0	0
fig.623.1277.peg.3311	0.0014369091453918892	0	0	0	0
fig.623.1277.peg.3312	0.0013945764161366477	0	0	0	0
fig.623.1277.peg.3313	0.0013426385860176632	0	0	0	0
fig.623.1277.peg.3314	0.001300928127791305	0	0	0	0
fig.623.1277.peg.3315	0.001272991216831998	0	0	0	0
fig.623.1277.peg.3316	0.0012561637431794952	0	0	0	0
fig.623.1277.peg.3317	0.0012460801178528302	0	0	0	0
fig.623.1277.peg.3318	0.0012386927241684656	0	0	0	0
fig.623.1277.peg.3319	0.0012311549118019492	0	0	0	0
fig.623.1277.peg.3321	0.0012220520275545111	0	0	0	0
fig.623.1277.peg.3327	0	-0.03634815180193708	0	0	0
fig.623.1277.peg.3859	0	0	0.08157663146665846	0	0
fig.623.1277.peg.3865	0	0	0	-0.034026664570208386	0
fig.623.1277.peg.3866	0.0012112154174735246	0	0	0	0
fig.623.1277.peg.3867	0.0011993164536077746	0	0	0	0
fig.623.1277.peg.3869	0.0011874132224850814	0	0	0	0
fig.623.1277.peg.3872	0.0011765700189672866	0	0	0	0
fig.623.1277.peg.3875	0.00116760660187054	0	0	0	0
fig.623.1277.peg.3876	0.0011609820878204062	0	0	0	0
